Timestamp;Participant ID:;Self assesment_Mean;Self Assesment_sum;Robot attitude_sum;Personal positive;Personal negative;Social Posiitve;Social negative;TA Time_NQ;TA Time_q;Assembly time_No question;Assembly time_ question;Robot N_task_No question;Robot N_task_ question;Mental_NQ;Mental_Q;Physical_NQ;Physical_Q;Temporal_NQ;Temporal_Q;Performance_NQ;Performance_Q;Effort_NQ;Effort_Q;Frustration_NQ;Frustration_Q;Satisfaction_NQ;Satisfaction_Q;Fairness_NQ;Fairness_Q;Efficency_NQ;Efficency_Q;TA_Satis_NQ;TA_Satis_Q;Willingness_NQ;Willingness_Q;TA_Difficulty_NQ;TA_Difficulty_Q;N_robot_ yellow;N_robot_orange;N_robot_ yellow2;N_robot_orange2;Time_Y_NQ;Time_O_NQ;Time_Y_Q;Time_O_Q;Trust_robots
09/10/2025 16:36;P10;3,2;32;63;25;5;24;21;280;470;269;376;15;22;2;4;5;3;5;3;10;10;6;2;1;1;10;10;10;10;10;7;7;10;10;10;3;3;10;9;10;11;176;171;359;222;5
09/09/2025 10:40;p11;3,9;39;64;20;17;21;17;109;126;347;581;19;21;4;10;7;9;6;8;10;10;7;9;6;9;10;9;10;8;9;9;9;9;10;10;4;10;9;11;10;9;149;192;151;150;4
09/09/2025 11:46;P12;3;30;62;8;7;23;21;124;210;341;301;20;19;1;6;2;3;3;7;10;9;2;8;1;6;10;9;10;9;10;8;10;9;10;10;2;3;8;6;6;8;134;131;163;137;2
09/09/2025 13:42;P13;3,4;34;73;15;6;24;11;571;124;265;300;14;14;3;9;6;7;8;9;4;10;4;7;7;5;8;10;8;10;6;10;3;10;10;10;4;5;11;8;11;11;183;128;188;186;4
09/09/2025 14:43;P14;3,2;32;73;21;8;24;11;249;139;311;374;19;22;2;5;2;3;2;4;8;7;3;4;1;1;9;9;6;8;4;8;7;8;10;8;4;3;4;6;9;8;129;115;343;325;5
09/09/2025 15:54;P15;2,9;29;70;22;8;24;14;127;171;244;668;10;17;3;7;6;4;6;5;10;6;6;6;3;5;9;7;10;10;8;7;8;6;10;10;6;7;8;7;9;10;152;153;220;213;5
09/09/2025 16:58;P16;3;30;69;19;7;24;15;137;510;305;433;15;19;1;6;5;6;2;8;10;9;6;7;2;5;9;8;8;7;8;4;8;6;10;10;8;8;11;9;9;11;190;153;179;208;4
09/09/2025 18:02;P17;2,8;28;65;21;8;22;17;725;263;343;387;20;20;2;5;3;3;3;5;9;10;3;6;1;1;10;10;10;10;10;9;10;10;10;10;4;7;7;6;10;9;130;120;190;166;5
09/10/2025 14:02;P18;3,6;36;78;21;9;25;7;407;624;250;356;13;19;5;8;5;4;6;8;9;9;5;7;2;2;9;9;8;7;7;8;9;8;9;9;8;8;8;7;11;11;147;122;188;188;5
09/10/2025 17:42;P19;3,3;33;57;18;12;18;21;558;361;287;359;17;16;4;8;6;5;6;7;9;9;5;7;1;2;8;9;9;6;8;9;8;9;8;8;6;7;9;8;7;9;145;142;208;151;4
09/12/2025 09:37;P20;3;30;69;15;7;25;16;125;413;272;413;15;18;1;4;1;2;3;5;10;8;3;7;3;4;10;8;10;6;10;3;10;4;10;10;7;7;8;7;9;9;140;132;249;164;2
09/12/2025 10:42;P21;2,9;29;66;14;11;25;19;523;166;401;472;22;19;2;6;2;4;2;7;9;7;4;7;1;3;8;7;3;2;8;6;8;6;8;9;2;2;11;11;9;10;205;196;208;264;3
09/12/2025 11:50;P22;3,8;38;61;17;8;17;16;254;406;346;396;20;22;2;3;2;3;2;5;9;9;3;6;1;1;9;9;8;7;8;7;8;7;10;10;2;2;10;10;11;11;172;174;175;221;3
09/12/2025 13:53;P23;3,4;34;65;22;13;22;17;1013;90;409;402;22;22;8;4;3;3;8;4;10;10;3;10;8;3;10;10;10;10;10;9;10;10;9;10;1;1;11;11;11;11;201;208;199;203;4
09/12/2025 15:07;P24;3,4;34;62;16;11;21;19;198;369;370;561;22;22;1;3;4;3;3;4;3;8;1;5;1;7;3;6;2;7;4;5;4;3;1;1;1;1;11;11;11;11;180;190;270;291;3
09/12/2025 16:04;P25;3,2;32;72;16;6;24;12;464;187;335;300;20;18;2;4;2;2;2;5;10;8;2;5;1;3;10;10;8;9;8;9;7;8;10;10;7;8;11;9;9;9;185;150;147;153;3
09/12/2025 17:16;P26;2,4;24;66;22;12;24;18;64;158;305;410;16;16;8;7;8;9;9;8;9;10;8;7;1;2;9;9;10;10;10;9;10;9;9;9;3;4;8;8;7;9;164;141;225;185;4
9/15/2025 11:48:54;P27;3,5;35;69;15;6;21;12;530;139;295;412;17;22;2;6;4;2;2;5;10;10;3;4;1;2;9;10;10;10;8;9;8;9;9;10;6;2;9;8;11;11;156;139;196;216;4
9/15/2025 13:44:16;P28;3,1;31;72;17;5;23;11;254;497;220;326;12;18;3;6;4;4;3;7;10;9;3;6;2;1;6;8;7;8;8;7;7;7;9;9;3;6;6;6;9;9;105;115;163;163;4
9/16/2025 11:32:36;P29;3,7;37;56;11;10;21;25;454;159;240;260;11;12;2;4;2;2;3;5;10;10;3;5;1;1;10;10;10;10;10;10;10;10;10;10;4;4;8;3;6;6;149;91;135;125;3
9/16/2025 13:34:55;P30;3;30;60;12;12;23;23;276;378;336;420;16;20;4;7;3;3;6;5;10;10;6;6;2;7;9;8;7;9;8;9;8;9;10;9;5;3;9;7;10;10;174;162;192;228;2
9/16/2025 14:55:56;P31;2,6;26;72;13;11;25;13;223;121;387;371;17;17;3;6;2;2;5;5;10;9;6;4;4;7;10;8;6;8;9;8;9;7;9;10;8;9;8;9;8;9;223;164;176;195;5
9/16/2025 17:41:16;P32;3,9;39;68;13;6;20;12;127;472;311;417;18;20;2;4;2;2;3;6;10;10;5;7;3;5;10;9;10;9;10;8;10;9;9;9;6;7;9;9;9;11;155;156;174;243;3
9/16/2025 19:07:36;P33;3,1;31;64;13;13;25;21;493;217;298;281;17;16;6;9;3;4;3;7;10;9;8;9;8;4;7;8;8;9;6;10;6;9;8;10;8;10;9;8;8;8;156;142;135;146;3
9/17/2025 14:35:30;P34;3;30;68;18;9;22;14;202;564;236;373;13;17;2;7;3;3;5;7;8;8;5;3;2;2;7;8;8;9;6;7;5;6;9;9;7;7;7;6;7;10;114;122;196;177;4
9/17/2025 17:32:26;P35;3,4;34;71;18;5;23;12;409;88;383;392;22;22;3;4;3;3;4;4;10;9;3;4;1;2;9;9;10;10;10;10;10;10;10;9;2;2;11;11;11;11;191;192;197;195;4
9/18/2025 13:28:30;P36;3,2;32;70;16;9;18;8;177;447;345;386;20;22;1;6;5;6;2;7;7;5;3;4;2;1;7;6;7;6;8;7;7;7;10;9;8;9;11;9;11;11;190;155;195;191;4
