;Demographics;;;;;Self Assesment;;;;;;;;;;General Attitude toward robots;;;;;;;;;;;;;;;;;;;;;;;;Nasa TLX;;;;;;;;;;;;;Nasa TlX;;;;;;;;;;;;;;;;;;;;;Post experiment;;;;;;;;;;;;;;;;;;
Timestamp;Participant ID:;Gender;Age;Have you ever had any experience cooperating or interacting with a robot before this experiment?;1- Is the robot’s presence pleasant to you?;1- I can always manage to solve difficult problems if I try hard enough.;2-  If someone opposes me, I can find the means and ways to get what I want.;3-  It is easy for me to stick to my aims and accomplish my goals.;4-  I am confident that I could deal efficiently with unexpected events.;5- Thanks to my resourcefulness, I know how to handle unforeseen situations.;6-  I can solve most problems if I invest the necessary effort.;7-  I can remain calm when facing difficulties because I can rely on my coping abilities.;8- When I am confronted with a problem, I can usually find several solutions.;9- If I am in trouble, I can usually think of a solution.;10- I can usually handle whatever comes my way.;Mean;SUM;1- I can trust persons and organizations related to development of robots ;2- Persons and organizations related to development of robots will consider the needs, thoughts and feelings of their users ;3- I can trust a robot ;4- I would feel relaxed talking with a robot;5- If robots had emotions, I would be able to be friend with them;6- I would feel uneasy if I was given a job where I had to use robots;7- I fear that a robot would not understand my commands;8- Robots scare me ;9- I would feel very nervous just being around a robot ;10- I don’t want a robot to touch me;11- Robots are necessary because they can do jobs that are too hard or too dangerous for people ;12- Robots can make life easier ;13- Assigning routine tasks to robots lets people do more meaningful tasks ;14- Dangerous tasks should primarily be given to robots ;15- Robots are a good thing for society, because they help people;16- Robots may make us even lazier ;17- Widespread use of robots is going to take away jobs from people ;18- I am afraid that robots will encourage less interaction between humans ;19- Robotics is one of the areas of technology that needs to be closely monitored ;20- Unregulated use of robotics can lead to societal upheavals;Sum( reversed negative values);Personal positive;Personal negative;Social Posiitve;Social negative;Please indicate the scenario you just completed: ;Assembly time;Robot N_task;1.)  Mental Demand: How much thinking, deciding, or calculating was required to perform the tasks?; 2.)  Physical Demand: How much physical activity was required to perform the tasks?     ;3.) Temporal Demand: How hurried or rushed was the pace of the tasks?;4.)  Performance: How successful were you in accomplishing what you were asked to do?;5.) Effort: How hard did you have to work to accomplish and maintain your level of performance?;6.) Frustration: How insecure, discouraged, irritated, stressed, and annoyed were you?     ;7.) Satisfaction: How satisfied were you with the outcome of the collaboration.;8.) Fairness: How fair do you think your task allocation was? ;9.) Efficency: How efficient your task allocation was?;10.) Task Allocation: How satisfied are you with your task allocation?;11.) Willingness: Are you willing to collaborate with this robot on more important tasks?;12.)  Decision-Making: How difficult was it to decide which tasks to assign to yourself versus the robot?;Please indicate the scenario you just completed:;TA Time_NQ;TA Time_q;Assembly time with question;Robot N_task With question;1.)  Mental Demand: How much thinking, deciding, or calculating was required to perform the tasks?2; 2.)  Physical Demand: How much physical activity was required to perform the tasks?     3;3.) Temporal Demand: How hurried or rushed was the pace of the tasks?4;4.)  Performance: How successful were you in accomplishing what you were asked to do?5;5.) Effort: How hard did you have to work to accomplish and maintain your level of performance?6;6.) Frustration: How insecure, discouraged, irritated, stressed, and annoyed were you?     7;7.) Satisfaction: How satisfied were you with the outcome of the collaboration.8;8.) Fairness: How fair do you think your task allocation was? 9;9.) Efficiency: How efficient your task allocation was?;10.) Task Allocation: How satisfied are you with your task allocation?10;11.) Willingness: Are you willing to collaborate with this robot on more important tasks?11;12.)  Decision-Making: How difficult was it to decide which tasks to assign to yourself versus the robot?12;N_robot_ yellow;N_robot_orange;N_robot_ yellow2;N_robot_orange2;Time_Y_NQ;Time_O_NQ;Time_Y_Q;Time_O_Q;1- What factors influenced how you assigned tasks between yourself and the robot? (Select all that apply) ;2- How did you decide whether to assign a task to yourself or the robot?;3-  What were your thoughts about the robot’s capabilities?;4-  Did you feel the robot was better at any tasks than you?;5-  Did the collaboration feel balanced?;6- Do you think if the robot was more capable you would allocate more tasks to it?;7-  Did you consider yourself and the robot as a team? Or did you feel you are the lead of it?;8-  What qualities of the robot influenced your allocation decisions?;9- Did your opinion of the robot change during the task?;10- If you could reallocate the tasks after this experience, what would you change and why?
8/12/2025 10:42:48;1;Male;26;Yes;2;3;3;3;3;3;4;3;3;3;3;3,1;31;3;2;2;2;1;3;2;1;1;2;4;5;5;5;3;3;2;3;5;5;64;10;9;22;18;Without pop-up questions;332;16;2;1;4;10;1;1;3;9;4;4;3;9;With pop-up questions;183;101;341;13;3;2;6;9;4;1;5;5;6;5;3;8;8;8;5;8;155;177;152;189;;what would be the quickest and where I could parallize tasks;it is a simple pick and place task;no;sometimes, but it was on me to find a way to make it balanced;yes;I felt in control of the robot, since I had to decide the task allocation;where I could do some work in parallel ;no;I would change the order and allocate some more tasks while answering the maths questions, while allocating less when not doing anything else in parallel
8/12/2025 14:49:50;2;Male;46;Yes;3;4;3;3;4;3;3;4;3;3;3;3,3;33;4;4;4;2;3;1;2;1;2;2;5;5;4;4;5;4;4;4;4;3;64;17;8;23;19;Without pop-up questions;384;20;4;4;3;10;6;2;9;9;8;9;9;3;With pop-up questions;194;125;372;14;5;4;6;8;7;3;8;9;8;9;9;7;10;10;8;6;188;196;174;198;;I tried to increase paralleliyation of tasks and to reduce waiting times. The first step I kept to the human in order to maintain control. ;It is verz capable for pick and place tasks, predictable, but slow.;Zes, in reproducing positioned pick and place tasks. For all the rest, I was better.;yes;yes;yes, team. I did not wand to stop it and wanted to increase productivitz in the sense of reducing overall process time.;speed, spatial position of the building blocks on the board, so that we could work in parallel;a little bit as I experienced that the positioning of the robot was verz precise *(good) but also negativelz as there were two collisions at the wheel placement task;I would probably keep pretty much the same allocation, perhaps I would play around with some variants to improve the process and to reduce the process time
8/18/2025 14:38:41;3;Male;35;Yes;3;4;2;3;3;3;4;3;4;4;4;3,4;34;3;4;4;2;1;1;3;1;1;3;5;5;3;5;4;2;5;2;4;5;64;14;9;22;18;Without pop-up questions;332;14;3;1;3;10;1;1;10;10;9;10;10;2;With pop-up questions;169;134;258;14;6;2;5;10;5;1;10;10;9;10;10;2;6;8;7;7;138;194;128;130;;Based on buildings, if I have to screw I thought it would make sense to also place the components, to focus on complete buildings, and the cobot can assign in the meantime other buildings. ;The robot did a good job, sometimes the accuracy was not perfect, but it improved the speed of the whole process;no;yes;yes;I thought we are a team, but I have the possiblity to decide;that the robot can only do pick and place tasks and no screwing tasks;No;I think in the last version it was a good collaboration, which was also efficient. So I would not reallocate anything. Maybe I would try further combinations to check if there are more efficient ones 
8/18/2025 15:32:22;4;Male;30;Yes;3;4;3;4;4;4;4;4;4;4;4;3,9;39;3;2;5;5;1;1;2;1;1;3;3;5;3;4;4;1;1;1;2;2;72;16;8;19;7;Without pop-up questions;282;14;6;6;6;8;3;4;7;5;7;7;5;4;With pop-up questions;344;407;331;12;8;7;10;7;3;8;5;5;6;4;5;8;7;7;5;7;147;135;160;171;;based on the spatial layout of the task such that the robot does not get in my way and by estimating how long the robot will take to do those tasks to avoid either of me or the robot being idle. ;nothing specific;no;it felt balanced in the last run, because i optimised the allocation strategy and both me and the robot pretty much finished at the exact same time;no. elaborate answer - after 1-2 runs i figured out it takes around 6-7 robot actions for me to finish the task. i would not assign more or less because then i would have to wait for the robot to finish;i felt like a team when we finished at the same time. But my opinion on this matter is biased based on prior literature on HRI;nothing specific - i did not pay attention to the robot much. instead, i focused on the layout;i believe i changed the allocation slightly, due to a.) fine tuning the number of actions and how long they take and b.) some things about the task were not that clear and became clearer during the process, so i adapted my strategy;nothing specific, i believe after 4 runs i more or less optimised my strategy
8/20/2025 11:59:00;5;Male;33;Yes;3;3;3;3;3;3;3;3;3;3;3;3;30;4;4;4;5;3;2;2;1;1;3;5;4;4;4;4;1;2;2;3;2;71;20;9;21;10;Without pop-up questions;343;15;2;2;3;8;4;5;7;8;7;7;7;5;With pop-up questions;163;87;353;15;2;2;4;8;2;5;8;8;7;8;8;8;7;8;7;8;153;190;177;176;;Based on experienced downtime and perceived bottlenecks;It does its job on predetermined coordinates;no;in terms of task load / capacity : sure;sure;lead;downtime;no;sequence of tasks, to minimize downtime
9/9/2025 10:40:18;p11;Female;31;Yes;4;4;3;4;3;2;4;2;3;4;3;3,2;32;5;5;5;5;5;1;1;1;1;1;5;5;5;5;4;4;4;4;5;4;63;25;5;24;21;Without pop-up questions;347;19;4;7;6;10;7;6;10;10;9;9;10;4;With pop-up questions;109;126;581;21;10;9;8;10;9;9;9;8;9;9;10;10;10;9;10;11;176;171;359;222;Reducing waiting time, Reducing total completion time;Not to wait for robot, but whith pop up questions it was much more complicated.;It was good, I liked how it was doing dovetail uper parts.;No, but when I needed to think for questions it was better.;Yes, I feel if I had one more round it could be optimized in both set up.;Yes, probably doing screw with nuts. ;more like a team that I needed to adjust my moves to it and when is the optimom time to do the task and not to crash.;low pace of robot made me sometimes change the allocations;no;for without question I do wheel myself and second part of bridge and second part of hospital, for with questions just I do the second part of hospital and the rest with robot.
9/9/2025 11:46:06;P12;Male;29;Yes;3;4;4;4;4;4;4;3;4;4;4;3,9;39;3;3;4;5;5;5;5;1;3;3;5;5;5;2;4;4;3;3;3;4;64;20;17;21;17;Without pop-up questions;341;20;1;2;3;10;2;1;10;10;10;10;10;2;With pop-up questions;124;210;301;19;6;3;7;9;8;6;9;9;8;9;10;3;9;11;10;9;149;192;151;150;Reducing waiting time, Workspace layout (how space is divided between me and the robot), Working at a comfortable pace, Robot’s limitations for certain tasks, Let the robot do the work ;Limitations of the robot;Quite nice, but hopefully can be do more soon ;No, it was able to do the simple tasks;Yes, seemed good. I let the robot do the collaboration tasks first and then the robot only tasks.;Yes, could use time for something else;No, he is my work assistant;safe time for me;First, I thought optimizing the overal performance, then reducing my workload;I would not reallocate the tasks, but focus on iterative steps on improving the collaboration. I need to understand the capabilities of the robot first, before assigning tasks to it. 
9/9/2025 13:42:24;P13;Male;28;Yes;4;3;3;4;2;2;4;4;4;3;1;3;30;3;1;2;1;1;2;2;1;1;1;5;5;3;5;5;4;4;4;4;5;62;8;7;23;21;Without pop-up questions;265;14;3;6;8;4;4;7;8;8;6;3;10;4;With pop-up questions;571;124;300;14;9;7;9;10;7;5;10;10;10;10;10;5;8;6;6;8;134;131;163;137;Reducing waiting time, Reducing total completion time;Previous tasks where the human had to do the job, where assiged to the robot, in order to work in parallel. ;They were sufficient and helpful to work in parallel;Not after doing it several times. But untrained for sure at all tasks.;Yes;Yes;It was like working with a partner.;The certainty of completing the task. Setting the first step so I can build on it and at the same time the robot can do further tasks, where I again can contribute. ;No. I pro robot;The last run was perfect for me. The robot first needs to place the buildings where i can work on it. So i never have to wait for the robot. 
9/9/2025 14:43:18;P14;Female;26;No;3;3;3;2;4;4;4;4;3;4;3;3,4;34;3;3;4;2;3;1;2;1;1;1;5;5;5;5;4;2;2;1;4;2;73;15;6;24;11;Without pop-up questions;311;19;2;2;2;8;3;1;9;6;4;7;10;4;With pop-up questions;249;139;374;22;5;3;4;7;4;1;9;8;8;8;8;3;11;8;11;11;183;128;188;186;Reducing waiting time, Reducing total completion time, Robot’s limitations for certain tasks;Based on how fast I vs. the robot would be able to do it. ;Very impresive, although the robot having to go back to its original starting location between tasks might be unefficient in more time sensitive tasks. ;More presiye and less prone to mistakes. While i might knock a building block with my arm while building, the robot does not. ;Yes ;No, I felt the robot was capable enough. ;Yes, I felt we were a team.;The speed with which the robot would complete a task and whether or not if the robot was capable of it. ;No. ;I might try to divide the tasks between the robot and myself more to reduce my waiting time while the robot works. 
9/9/2025 15:54:03;P15;Male;28;Yes;4;4;3;3;3;4;3;3;3;3;3;3,2;32;4;3;5;4;5;1;4;1;1;1;5;5;5;4;5;5;3;1;1;1;73;21;8;24;11;Without pop-up questions;244;10;3;6;6;10;6;3;9;10;8;8;10;6;With pop-up questions;127;171;668;17;7;4;5;6;6;5;7;10;7;6;10;7;4;6;9;8;129;115;343;325;Reducing total completion time;which is going to be faster;robot perform really good ;individually no, maybe robot is better at math;yes;yes;im in the lead, i would consider the robot a tool not a team mate;what can the robot do whitout stopping.;no;would be interesting to see if the robot can solve the math problems and if i can also allocate the math problems to the robot, what I would choose
9/9/2025 16:58:31;P16;Female;25;No;4;3;2;3;3;3;4;4;2;3;2;2,9;29;4;3;5;5;5;1;2;1;1;3;5;5;5;5;4;3;2;2;5;2;70;22;8;24;14;Without pop-up questions;305;15;1;5;2;10;6;2;9;8;8;8;10;8;With pop-up questions;137;510;433;19;6;6;8;9;7;5;8;7;4;6;10;8;8;7;9;10;152;153;220;213;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot), Robot’s limitations for certain tasks, My safety (avoiding collisions with the robot);I thought about how I could allocate the tasks, so that I don't sit waiting around for the robot to finish certain tasks;very good, it was preciser than I thought and was moving in a sense that I could work around it;no;at the end yes, when I realised which allocation would make more sense;Yes definitely;I felt like a team, moreso I had the feeling that the robot was the lead and I was assisting it;the robot not being able to detect my hand, when working around it;not much, I had a good one from the beginning;try to make it even more efficient, so I can already place certain building parallel and try to put the screwing parts to the end
9/9/2025 18:02:15;P17;Male;33;Yes;4;4;2;4;2;2;4;2;4;3;3;3;30;5;4;4;4;2;1;2;2;1;1;5;5;5;5;4;3;2;2;4;4;69;19;7;24;15;Without pop-up questions;343;20;2;3;3;9;3;1;10;10;10;10;10;4;With pop-up questions;725;263;387;20;5;3;5;10;6;1;10;10;9;10;10;7;11;9;9;11;190;153;179;208;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot), Robot’s limitations for certain tasks;I tried to maximiye parallel tasks.;It would be great if it could do the screw task.;no;zes;if it was faster yes.;I was the lead.;Speed and movement direction.;yes when I found out how high it brings the objects. I tried to avoid being on its way by changing task order.;I would give the last parts of hostpital to myself because the robot did not align them well.
9/10/2025 14:02:17;P18;Male;26;Yes;4;3;3;3;2;3;3;3;2;3;3;2,8;28;5;4;5;4;3;2;1;1;1;3;5;5;5;4;3;4;2;3;4;4;65;21;8;22;17;Without pop-up questions;250;13;5;5;6;9;5;2;9;8;7;9;9;8;With pop-up questions;407;624;356;19;8;4;8;9;7;2;9;7;8;8;9;8;7;6;10;9;130;120;190;166;Reducing waiting time, Reducing total completion time, Workspace layout (how space is divided between me and the robot);My goal was to reduce the time for the task. Therefore, I tried to assign task to the robot where I need to do the tasks which the robot cannot perform. Then I had a look at the layout where I need to perform the task to enable work in parallel. And if possible I assigned to to me because I am faster.;I did not really consider this because it was already predefined which task the robot can do which tasks the robot cannot do but for example the assempz of the dovetail i take over because at the first place it was not fully assembled. All the other task are very good performed by the robot.;I would say not but it was good to have his support at the task to work in parallel.;Not always because for example at both round the robot finished already earlier than be which could be more optimized but generally it was a good balance;If the movments are faster then probably yes because this is currently from my perspective which makes him slow.;I would consider us as a team because we worked together on the project and were successfully.;I did not really consider the qualitites of the robot because in the first place I saw the robot is able to do the task good and this supported that I can assign him the available task and do not consider other qualities of the robots.;No, I always saw it the way that the robot and I am a team and we are working together on the project to finish it fast..;I would better manage it that I and the robot finish at the same time because when the robot is doing nothing at the and it does not really reduce the cycle time. And also consider more the layout because at a run I looked at the wrong workplace because the arranged differently where the robot is comming and then I could not work that in parallel as I wished.
9/10/2025 16:36:16;P10;Male;30;Yes;4;4;3;3;3;4;4;4;4;3;4;3,6;36;4;5;5;5;2;1;4;1;1;2;5;5;5;5;5;1;1;1;2;2;78;21;9;25;7;Without pop-up questions;269;15;2;5;5;10;6;1;10;10;10;7;10;3;With pop-up questions;280;470;376;22;4;3;3;10;2;1;10;10;7;10;10;3;8;7;11;11;147;122;188;188;Reducing waiting time, Reducing total completion time, My own performance/abilities, Robot’s limitations for certain tasks;efficiency;very impressive;in most of the pick and place tasks the robot is better than myself;yes, even though I prefer to hand more of the tasks to the robot;yes, certainly;it felt like a team working on the same task, because the robot waited for me to complete;speed, precision;yes. in the beginning I thought about allocating all of the tasks, in the end I figured out that we would be faster if the tasks are distributed more evenly;in the long run I would assign more tasks to the robot even though this would mean a slight decrease in productivity overall
